feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Cytidine	Dx	Control	0.518976521386477	0.103761506128816	37	37	1.83586836155822e-05	0.0223058005929324
X2.Aminophenol	Dx	Control	0.441191133782817	0.118071528518298	37	37	0.000705806768072446	0.0939507666536704
X3.Hydroxybenzyl.Alcohol	Dx	Control	0.267366680728566	0.0708770586584828	37	37	0.000639050378671027	0.0939507666536704
acetyl.carnitine	Dx	Control	0.528105097554888	0.141860472862685	37	37	0.000733727789741113	0.0939507666536704
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Dx	Control	-0.759235668996836	0.189750146903573	37	26	0.000335275312678679	0.0939507666536704
Diethanolamine	Dx	Control	0.397136281782998	0.10302979885816	37	36	0.00050740264019764	0.0939507666536704
Diethyl.2.Methyl.3.Oxosuccinate	Dx	Control	0.346457606225221	0.0865217304471988	37	37	0.000332388826260706	0.0939507666536704
Glucosaminate	Dx	Control	0.303746598522578	0.0812882436262806	37	37	0.000705771369974623	0.0939507666536704
N.Acetylputrescine	Dx	Control	-0.896154021590079	0.241953004604284	37	37	0.000773257338713336	0.0939507666536704
Salicylate	Dx	Control	0.318441194923401	0.0792263057846296	37	37	0.000318429323717233	0.0939507666536704
Farnesyl.pyrophosphate	Dx	Control	0.333010903016067	0.0922805745297606	37	37	0.00100617760343559	0.0954327629090151
Glycolate	Dx	Control	0.291680786774562	0.0809473965415502	37	37	0.00102109129038452	0.0954327629090151
Phenylethanolamine	Dx	Control	0.213063533490175	0.0586647408390384	37	36	0.000943789343140097	0.0954327629090151
Betaine	Dx	Control	0.542218515427093	0.15577717968116	37	37	0.0014285209376982	0.103706013645893
Heptanoic.acid	Dx	Control	0.538842182906901	0.153680629118576	37	37	0.00133254077510803	0.103706013645893
P.Octopamine	Dx	Control	0.267348117324504	0.0769349983108168	37	37	0.00145103064360508	0.103706013645893
Sorbate	Dx	Control	0.280972225086984	0.0801555386711006	37	37	0.00133585061675812	0.103706013645893
X2.Hydroxypyridine	Dx	Control	0.372721346925915	0.109929510681745	37	37	0.00182401037462583	0.118371405575673
X3.Methylglutaconate	Dx	Control	0.253683985055372	0.0769773161747525	37	37	0.00235350894079759	0.118371405575673
Asparagine	Dx	Control	0.406673989264111	0.12105457209252	37	37	0.00198345983359882	0.118371405575673
Cytosine	Dx	Control	0.432126637686004	0.131434745769426	37	37	0.00240301475790647	0.118371405575673
Decanoic.acid	Gender	Male	-0.34401517533602	0.105268407760046	37	37	0.00253305065429423	0.118371405575673
Melatonin	Dx	Control	0.69412516827074	0.20788125577745	37	34	0.00209503478968062	0.118371405575673
N.Butylbenzenesulfonamide	Dx	Control	0.223000873725476	0.0679326549495541	37	37	0.00243584530956371	0.118371405575673
N.Methylaspartate	Dx	Control	0.386122528634383	0.114756452153768	37	37	0.0019554651073616	0.118371405575673
